system_id,latitude,longitude,elevation_m,azimuth,tilt,dc_capacity_kW,mean_power_generation_kW,performance_ratio
10153,33.868412,-118.366253,31.27039528,180.0,18.0,4.08,1.1617177951890858,0.28473475372281515
10156,32.788736,-116.90487,0.0,225.0,0.0,3.502,1.2511784902450094,0.3572754112635664
10157,35.106396,-106.57927,0.0,225.0,20.0,3.825,1.3249006968112973,0.34637926714020845
10158,34.481172,-118.42821,0.0,225.0,22.5,5.88,2.0044645538460646,0.3408953322867457
10159,39.504706,-76.57112,0.0,180.0,30.0,7.65,2.3478848705408017,0.3069130549726538
10161,41.56033,-72.33795,0.0,225.0,45.0,7.02,2.126712970696647,0.302950565626303
10162,34.976173,-99.3952,0.0,180.0,25.0,16.33,5.691202988627326,0.34851212422702554
10166,41.492808,-81.687576,0.0,270.0,1.0,5.0,1.1000671038768166,0.22001342077536332
10167,39.174164,-77.674422,0.0,225.0,37.0,56.35,11.52744816816131,0.20456873412886087
10168,43.392935,-70.750133,0.0,180.0,34.0,8.225,2.8640818576065636,0.34821663922268253
10169,39.147128,-92.484962,0.0,180.0,35.0,19.5,5.5356063021623525,0.28387724626473604
10171,42.419496,-71.15635,0.0,135.0,0.0,5.75,1.3494304031257283,0.23468354836969188
10172,35.022523,-80.733357,0.0,90.0,23.0,4.94,1.336137501591708,0.2704731784598599
10173,43.025217,-78.70394,0.0,225.0,0.0,9.4,2.3410394641343863,0.24904675150365813
10175,37.436451,-121.89438,0.0,225.0,20.0,5.0,1.5276652575053276,0.3055330515010655
10176,41.890203,-72.360679,0.0,135.0,30.0,11.04,2.229716658085054,0.2019670885946607
10177,37.592184,-122.04577,0.0,180.0,18.0,3.744,1.0328559378096875,0.27586964150899773
10178,42.287355,-75.972045,0.0,225.0,30.0,8.415,2.141940908527122,0.2545384323858731
10181,40.136203,-76.893352,0.0,180.0,27.0,17.75,4.713811409682212,0.26556683998209646
10182,37.305714,-121.81145,0.0,225.0,30.0,8.75,2.7868885624444735,0.3185015499936541
10183,34.176238,-118.61992,0.0,90.0,23.0,2.25,0.687319844420417,0.30547548640907424
10184,32.814636,-116.904508,0.0,180.0,0.1,10.5,3.1717480434666676,0.3020712422349207
10185,34.208837,-118.87348,0.0,180.0,15.0,7.0,2.073016543656321,0.29614522052233155
10186,46.53932,-108.53775,0.0,180.0,1.0,20.412,6.252717467172198,0.30632556668490096
10187,45.522248,-109.48875,0.0,180.0,34.0,14.28,3.1081884698024895,0.21766025698896987
10188,40.55051,-111.877728,0.0,180.0,26.0,7.65,2.697271602872835,0.352584523251351
10190,40.226302,-111.64439,1386.796753,225.0,30.0,3.57,1.119851937905095,0.3136840162199146
10192,37.269086,-121.912547,55.06858826,225.0,18.0,4.08,1.3229398057178348,0.32424995238182225
10194,38.590652,-90.35168,162.9224243,135.0,23.0,3.055,0.650906556979012,0.213062702775454
10196,37.228594,-121.98396,123.9370117,0.0,18.4,4.42,1.2255140548093433,0.2772656232600324
10197,26.179495,-80.27183,2.772278547,180.0,22.0,4.56,0.9254842804609152,0.20295707904844634
10199,21.459206,-158.0116,211.8657837,225.0,0.0,3.71,1.13535732374108,0.30602623281430724
10200,30.582556,-97.277096,151.7875671,180.0,30.0,10.29,2.872084233169132,0.27911411401060565
10201,42.964915,-71.588423,190.1954498,225.0,34.0,5.808,2.0736716635996943,0.35703713216248184
10203,33.77776,-112.07945,511.4154358,180.0,1.0,22.0,6.548907618853539,0.29767761903879725
10204,43.645603,-89.78104,322.0367126,180.0,45.0,9.45,2.4019719144260083,0.25417692216148235
10205,38.464212,-105.27973,1946.012207,180.0,35.0,8.82,5.7529001174463,0.6522562491435714
10206,42.502113,-71.365424,64.8028183,225.0,1.0,13.78,2.754915249481671,0.19992128080418511
10207,39.146479,-77.72798,170.8453522,180.0,15.0,40.922,9.208469716003053,0.22502491852800582
10208,37.280241,-122.037668,118.5380554,180.0,8.5,8.1,2.028786760459945,0.25046750129135126
10209,32.969472,-97.14486,184.1144867,180.0,40.0,17.0,3.936068868156622,0.23153346283274245
10210,30.329704,-97.8751,251.3063965,225.0,1.0,6.65,1.7234608941746667,0.25916705175558896
10211,38.833563,-76.877743,80.96591187,180.0,30.0,2.0,3.279322560319214,1.639661280159607
10212,34.328499,-118.426913,507.7799072,270.0,22.5,5.0,1.5886817936081437,0.31773635872162875
10213,32.79869,-117.202986,51.08882141,180.0,18.4,3.5,1.2244993000353444,0.3498569428672412
10214,43.002612,-77.86458,209.3417664,180.0,45.0,6.24,1.5697428169316683,0.2515613488672545
10215,37.346241,-121.9846,30.01787186,270.0,18.4,5.1,1.2639618082247055,0.2478356486715109
10216,43.015756,-70.90192,13.45234489,225.0,40.0,7.8,2.0936244351679743,0.2684133891240993
10218,39.400296,-76.44639,55.99781799,135.0,40.0,5.075,1.560125863411555,0.30741396323380393
10219,37.717273,-122.096292,136.0634308,225.0,22.5,1.44,0.45195985110063486,0.31386100770877423
10221,37.66993,-122.049627,157.7383118,180.0,20.0,3.12,0.9783286348193041,0.31356687013439233
10222,32.992547,-117.09434,232.6162415,225.0,22.5,7.8,2.769139182542224,0.35501784391566976
10223,37.107004,-121.648935,101.3553009,225.0,1.0,5.36,1.4889706109834857,0.2777930244372175
10224,42.45384,-73.254,316.1411133,180.0,34.0,4.5,1.1400827846203039,0.2533517299156231
10225,38.628371,-121.32702,0.0,180.0,15.0,8.25,2.348051309196492,0.28461227990260507
10227,33.03505,-96.80492,0.0,135.0,1.0,6.76,1.1616381351840268,0.17183996082603947
10228,40.529278,-105.372014,0.0,180.0,45.0,8.25,3.0475196051405895,0.3693963157746169
10229,38.840074,-106.148571,0.0,180.0,35.0,9.635,2.695703464481555,0.2797824042015106
10232,33.600354,-117.864766,0.0,135.0,20.0,8.19,2.8021392548739334,0.34214154516165246
10233,33.844716,-117.589099,0.0,180.0,14.0,6.5,1.9919366154097151,0.30645178698611003
10234,33.759409,-116.32317,0.0,270.0,5.0,8.0,2.6704489339593582,0.3338061167449198
10236,38.89119,-78.388429,0.0,180.0,18.4,8.97,1.918382177332779,0.21386646347076688
10237,33.097086,-117.1827,0.0,180.0,23.0,4.35,2.8367230046899374,0.652120230963204
10238,35.60089,-82.93536,0.0,180.0,35.0,9.54,2.9420761316050044,0.3083937244868978
10239,34.261221,-118.31887,0.0,225.0,21.0,8.5,2.395286023879877,0.28179835575057377
10242,32.918035,-117.08438,0.0,180.0,25.0,4.25,1.428713878623336,0.3361679714407849
10244,33.024721,-96.74038,0.0,180.0,27.0,4.64,1.2850890666877262,0.27695885057925135
10245,38.753679,-90.535768,159.7158508,180.0,28.0,11.985,2.7531553822606507,0.22971676113981235
10246,30.309255,-97.899819,269.9761963,180.0,30.0,9.0,2.448627160718907,0.272069684524323
10248,48.759079,-122.43597,64.46842194,180.0,30.0,12.0,3.049087371848856,0.254090614320738
10250,33.831636,-116.462459,116.4630356,270.0,30.0,4.73,1.6607035189169346,0.35110010970759714
10253,39.013062,-84.49419,262.0551758,180.0,27.0,1.75,0.42085044555905177,0.24048596889088672
10254,32.744579,-117.132568,105.5882111,180.0,19.0,4.2,1.51530656249726,0.3607872767850619
10255,30.09353,-95.422118,33.26309967,180.0,1.0,6.1,1.4752262908855356,0.24184037555500584
10256,39.745098,-122.184269,75.39565277,180.0,20.0,8.32,2.3979733336684834,0.28821794875823115
10257,39.044509,-76.9133,51.79932022,225.0,34.0,22.89,4.242295760950201,0.18533402188511144
10258,33.794028,-118.07218,7.182063103,180.0,18.5,7.56,2.2644984995131145,0.2995368385599358
10259,39.381295,-77.15867,230.50914,135.0,34.0,13.5,3.842071524275723,0.28459789068709057
10260,42.640813,-73.7856,63.43816757,135.0,22.5,7.2,3.5342178049164543,0.4908635840161742
10261,37.804064,-121.91202,246.7931061,270.0,1.0,11.7,2.65069923297891,0.22655548999819744
10264,47.68382,-122.30122,72.06368256,180.0,12.9,1.5,0.3497257856615478,0.2331505237743652
10265,43.016012,-74.04702,299.8157959,180.0,27.0,8.1,1.3489355369027947,0.16653525146948084
10268,28.295714,-82.61782,15.09505177,225.0,26.0,3.3,0.9479518147372643,0.2872581256779589
10269,37.533538,-122.24602,1.647629261,135.0,1.0,4.55,1.4888744339243725,0.3272251503130489
10270,35.101727,-106.67238,1511.841919,180.0,1.0,4.05,1.3729679061965565,0.3390044212831004
10272,32.856447,-117.21143,101.483963,225.0,27.0,4.2,1.7482088522593706,0.41624020291889774
10273,42.915904,-73.70539,44.59004974,180.0,10.0,112.5,23.12169078902671,0.2055261403469041
